dirty_location,clean_location
BALLANTINE HALL PARKING GARAGE,"39.165677, -86.521117"
BANTA APTS.,"39.175524, -86.508532"
Bart Kaufman Field,"39.182222, -86.518961"
BELL TOWER,na
BETA THETA PI,"39.175921, -86.512768"
BLOOMINGTON HOSPITAL,"39.159760, -86.540437"
BRISCOE QUAD,"39.178431, -86.519846"
BRISCOE QUAD BACK LOT,"39.178714, -86.520543"
BRISCOE QUAD COMMON AREA,"39.178431, -86.519846"
CAMPBELL STREET,"39.170022, -86.513915"
CAMPUS CHILDREN'S CTR,"39.175057, -86.502167"
CAMPUS DIV. GARAGE,na
CAMPUS VIEW APTS.,"39.173536, -86.508800"
CAMPUS VIEW COMMON AREA,"39.173536, -86.508800"
CAMPUS VIEW PARKING LOT,"39.173536, -86.508800"
CAMPUS WAREHOUSE BLDG,na
CAREER DEVELOPMENT,"39.172350, -86.516000"
CARMICHAEL BUILDING,"39.166494, -86.527265"
CARTER HOUSE,na
CHEMISTRY BLDG.,"39.166103, -86.522705"
CHI OMEGA,"39.180989, -86.510517"
CHILLED WATER PLANT,"39.174943, -86.522873"
COLLINS COMMON AREA,"39.171173, -86.524413"
COLLINS CRAVENS,"39.171472, -86.523994"
COLLINS EDMONDSON,"39.171418, -86.524434"
COLLINS SMITH,"39.170728, -86.523978"
COLLINS/GREENE,"39.172633, -86.522975"
COLLINS/GREENE COMMON AREA,"39.172633, -86.522975"
COOK HALL,"39.180052, -86.521019"
COTTAGE GROVE/WEST OF JORAN,na
CROSSTOWN SHOP CTR,na
CYBERINFRASTRUCTURE BUILDING,na
CYCLOTRON (ISAT),na
DATA CENTER (CIB MACHINE),na
Delta Chi,na
DELTA DELTA DELTA,na
DELTA GAMMA,na
DELTA TAU DELTA,na
DELTA UPSILON,na
DELTA ZETA,na
DEVAULT ALUMNI,na
DUNN MEADOW-SE OF 7TH & INDIANA AVE,na
DUNN STREET/NORTH OF 10TH,na
DUNN STREET/SOUTH OF 10TH,na
EIGENMANN HALL,na
EIGENMANN HALL COMMON AREA,na
EIGENMANN PARKING LOT,na
ENVIRONMENTAL HEALTH & SAFETY,na
ERNIE PYLE HALL,na
EVANS SCHOLARS,na
EVERMANN APTS.,na
EVERMANN COMMON AREA,na
FACULTY STREET/WEST OF JO,na
FEE LANE PARKING GARAGE,na
FEE LANE/NORTH OF 10TH ST,na
FESS AVENUE/NORTH OF 10TH,na
FESS AVENUE/SOUTH OF 10TH,na
FIELDHOUSE,na
FINE ARTS DEPT MAIN OFFICE,na
FOLKLORE DEPT,na
Folklore Institute,na
FOREST QUAD,"1725 E 3rd st Bloomington, IN"
FOREST QUAD COMMON AREA,na
FOREST QUAD EAST LOT,na
FOREST QUAD WEST LOT,na
FORREST AVE./SOUTH OF 10T,na
FOSTER BACK LOT,na
FOSTER COMMON AREA,na
FOSTER GRESHAM DINING,na
FOSTER HARPER HALL,na
FOSTER JENKINSON HALL,na
FOSTER MAGEE HALL,na
FOSTER MARTIN HALL,na
FOSTER SHEA HALL,na
GEOLOGY BUILDING,na
GILMORE LOT,na
Global & International Studies,na
GODFREY GRAD&EXEC CTR.,na
GOODBODY HALL,na
HAWTHORNE DR/WEST OF JORD,na
HEADLEY SCHOOL,na
HEALTH CENTER,na
HEALTH CENTER PARKING LOT,na
HENDERSON PARKING GARAGE,na
HEPBURN APTS,na
HILLCREST APARTMENTS,na
HODGE HALL (BUSINESS BUILDING),na
HOOSIER COURTS DAYCARE,na
HOUSE LAB OFFICE,na
HPER -SCHOOL OF PUBLIC HEALTH,"1025 E 7th St, Bloomington, IN 47405"
IMU PAY LOT #1,na
IMU PAY LOT #2,na
INDIANA AVENUE/NORTH OF 1OTH STR,na
INDIANA AVENUE/SOUTH OF 1OTH STR,na
INDIANA MEMORIAL UNION,900 E 7th St
INFORMATICS,na
INFORMATICS EAST,na
INNOVATION CENTER,na
INSTITUTE SOCIAL RESEARCH,na
INTERNATIONAL STUDIES,na
IU CREDIT UNION,na
IU FOUNDATION-TELEFUND,na
IU GOLF COURSE,na
IU GOLF DRIVING RANGE,na
IU PRESS WAREHOUSE,na
IUPD STATION,na
JACOBS EAST STUDIO BUILDING,na
JORDAN AVENUE PARKING GAR,na
JORDAN AVENUE/NORTH OF 10,na
JORDAN AVENUE/SOUTH OF 10,na
JORDAN HALL,na
KAPPA ALPHA THETA,na
KAPPA KAPPA GAMMA,na
KAPPA SIGMA,na
KILROYS PARKING LOT (EAST),na
KIRKWOOD OBSERVATORY,na
LAKE LEMON - IU PROPERTY,na
LAMDA CHI ALPHA,na
LATINO CULTURAL CENTER,na
LAW LANE/EAST OF JORDAN AVE,na
LAW LANE/WEST OF JORDAN AVE,na
LAW SCHOOL,na
LEWIS BUILDING,na
LINDLEY HALL,na
LINGLEBACH LANE/EAST OF JORDAN,na
MATHERS MUSEUM,na
MATLOCK ROAD/WEST OF JORD,na
MAXWELL HALL,na
MCCALLA SCHOOL,na
MCNUTT QUAD,"1101 N Fee Ln, Bloomington, IN"
MCNUTT QUAD BACK LOT,na
MCNUTT QUAD COMMON AREA,na
MELLENCAMP SPORT BLDG,na
MEMORIAL HALL,na
MEMORIAL STADIUM,"1001 E 17th St, Bloomington, IN"
Midwest Proton RadiationTherapy,na
MILO SAMPSON ROAD,na
MULTIDISCIPLINARY SCIENCE 2,na
MUSIC ADDITION&MERRILL HALL,na
MUSIC PRACTICE BLDG,na
MUSICAL ARTS CENTER,na
MYERS HALL,na
NEAL MARSHALL CENTER,na
NELSON BUILDING,na
OPTOMETRY,na
OPTOMETRY CLINIC-E. 3rd St.,na
OWEN HALL,na
PARK AVENUE/NORTH OF 10TH,na
PARK AVENUE/SOUTH OF 10TH,na
PHI DELTA THETA,na
PHI GAMMA DELTA,na
PHI KAPPA PSI,na
PHI MU,na
PI KAPPA PHI,na
POPLARS,na
POPLARS PARKING GARAGE,na
PRESIDENTS HOUSE,na
PSYCHOLOGY BUILDING,na
RADIO AND TV,na
RANGE ROAD/NORTH OF 10TH,na
RAWLES HALL,na
READ CENTER,na
READ CENTER COMMON AREA,na
READ QUAD WEST PARKING LOT,na
REDBUD E 100-800,na
REDBUD N 900-1600,na
RESEARCH & TEACHING PRESERVE,na
ROSE AVE/SOUTH OF 10TH ST,na
ROTC SUPPLY CENTER,na
SEMBOWER RECREATIONAL FIELD,na
SERVICE BUILDING,na
SHOWALTER FOUNTAIN,na
Sigma Alpha Epsilon,na
SIGMA CHI,na
SIGMA DELTA TAU,na
SIGMA NU,na
SIGMA PI,na
SIMON MUSIC LIB/RECIT,na
SIMON SCIENCE HALL,na
SPEA,na
SPEECH & HEARING CLINIC,na
Spruce Hall,na
SRSC,na
SRSC PARKING LOT,na
STONEBELT,na
STUDENT BUILDING,na
STUDENT SERVICES,na
SWAIN HALL (E & W),na
SYCAMORE HALL,na
TAU KAPPA EPSILON,na
TENNIS PAVILION,na
TENTH STREET LOT,na
TETER QUAD,"501 N Sunrise Dr, Bloomington, IN 47406"
TETER QUAD COMMON AREA,na
THETA CHI,na
TRANSPORTATION GARAGE,na
TULIP TREE APTS.,na
TULIP TREE COMMON AREA,na
TULIP TREE PARKING LOT,na
UNION STREET/NORTH OF 10TH,na
UNION STREET/SOUTH OF 10TH,na
UNIVERSITY APARTMENTS EAST,na
UNIVERSITY SCHOOL GYM- (I.A.GYM),na
UNKNOWN/DOES NOT APPLY,na
USA BEECH HALL,na
USA CEDAR HALL,na
USA COMMON AREA,na
USA HICKORY HALL,na
USA LINDEN HALL,na
USA PINE HALL,na
VON LEE LOT,na
WALNUT GROVE/NORTH OF 10TH,na
WELLS HOUSE,na
WELLS LIBRARY,na
WILLKIE CENTER,na
WILLKIE COMMON AREA,na
WILLKIE MASON COMMON AREA,na
WILLKIE MASON HALL,na
WILLKIE NORTH,na
WILLKIE PARKING LOT,na
WILLKIE SOUTH,na
WOODLAWN AVENUE/NORTH OF,na
WOODLAWN AVENUE/SOUTH OF,na
WOODLAWN FIELD-SE OF 10TH & WOODLAWN,na
WRIGHT EDUCATION BLDG,na
WRIGHT EDUCATION PARKING LOT,na
WRIGHT QUAD,"501 N Jordan Ave, Bloomington, IN 47406
"
WRIGHT QUAD COMMON AREA,na
ZETA BETA TAU,na
